date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:15:14	113/113	---M-Z	200	added ('OK')	text/plain	date:Fri,%2020%20Nov%202020%2005:15:14%20GMT	https://www.qubitech.es/robots.txt		(from )
00:15:14	56015/56015	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202020%2005:15:14%20GMT	https://www.qubitech.es/eugenio-navarro/	C:/My%20Web%20Sites/qubittech/www.qubitech.es/eugenio-navarro/index.html	(from )
00:15:15	53907/53907	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Aug%202020%2018:00:38%20GMT	https://www.qubitech.es/wp-includes/css/dist/block-library/style.min.css?ver=5.5.3	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-includes/css/dist/block-library/style.min5697.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:15	6641/6641	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Oct%202020%2007:56:58%20GMT	https://www.qubitech.es/wp-content/themes/hello-elementor/style.min.css?ver=2.2.0	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/themes/hello-elementor/style.min3601.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:15	5231/5231	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Oct%202020%2007:56:58%20GMT	https://www.qubitech.es/wp-content/themes/hello-elementor/theme.min.css?ver=2.2.0	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/themes/hello-elementor/theme.min3601.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:15	16636/16636	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Nov%202020%2008:03:21%20GMT	https://www.qubitech.es/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min74e5.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:16	18468/18468	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Nov%202020%2008:03:21%20GMT	https://www.qubitech.es/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.0.13	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/plugins/elementor/assets/lib/animations/animations.min2a45.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:16	3855/3855	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Nov%202020%2008:03:21%20GMT	https://www.qubitech.es/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.0.13	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/plugins/elementor/assets/css/frontend-legacy.min2a45.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:16	112213/112213	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Nov%202020%2008:03:21%20GMT	https://www.qubitech.es/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.0.13	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/plugins/elementor/assets/css/frontend.min2a45.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:16	1148/1148	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Nov%202020%2008:05:52%20GMT	https://www.qubitech.es/wp-content/uploads/elementor/css/post-677.css?ver=1604563552	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/uploads/elementor/css/post-6774b92.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:17	210352/210352	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Nov%202020%2008:03:45%20GMT	https://www.qubitech.es/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.0.6	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/plugins/elementor-pro/assets/css/frontend.min7c45.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:17	49101/49101	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Nov%202020%2010:15:18%20GMT	https://www.qubitech.es/wp-content/uploads/elementor/css/post-842.css?ver=1604571318	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/uploads/elementor/css/post-8420e6a.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:17	96/96	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Nov%202020%2008:05:53%20GMT	https://www.qubitech.es/wp-content/uploads/elementor/css/post-702.css?ver=1604563553	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/uploads/elementor/css/post-7029fcd.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:17	55753/55753	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Nov%202020%2008:03:22%20GMT	https://www.qubitech.es/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.12.0	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minb683.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:17	668/668	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Nov%202020%2008:03:22%20GMT	https://www.qubitech.es/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.12.0	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.minb683.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:18	661/661	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Nov%202020%2008:03:22%20GMT	https://www.qubitech.es/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minb683.css	(from https://www.qubitech.es/eugenio-navarro/)
00:15:18	96873/96873	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20May%202019%2004:25:54%20GMT	https://www.qubitech.es/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/qubittech/www.qubitech.es/wp-includes/js/jquery/jquery4a5f.js	(from https://www.qubitech.es/eugenio-navarro/)
